Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime
PI040298AD5I211343,55.001,-7.706,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ypys65tb,2018-06-24T16:41:20.000Z,2019-09-24T17:41:50.000Z
PI040298AD5I209196,55.0,-7.707,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_1d3zd8mt,2018-06-24T16:30:53.000Z,2018-09-04T09:42:47.000Z
PI040298AD5I212559,54.858,-7.668,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qshrebpv,2018-06-25T10:13:09.000Z,2018-08-10T17:21:37.000Z
PI040298AD5I210578,54.961,-7.73,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ry909kkn,2018-07-13T12:05:39.000Z,2019-05-14T12:52:33.000Z
PI040298AD5I212438,54.942,-8.337,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_e8rehyf6,2018-07-17T16:01:38.000Z,2019-03-13T09:50:27.000Z
PI040297AD5I208585,56.519,-3.761,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rkj27epd,2018-07-22T12:52:29.000Z,2019-02-16T12:41:01.000Z
PI040297AD5I207020,56.52,-3.76,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vdapdn10,2018-07-22T12:37:32.000Z,2019-10-27T15:07:42.000Z
PI040297AD5I209825,56.502,-3.514,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qv7hbd4g,2018-07-23T13:52:46.000Z,2019-01-23T10:50:09.000Z
PI040297AD5I209079,56.549,-3.263,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_sdezpf09,2018-07-28T21:26:43.000Z,2018-09-09T09:54:36.000Z
PI040297AD5I208458,56.546,-3.269,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5v8r98z4,2018-08-01T10:30:52.000Z,2018-09-13T11:43:58.000Z
PI040297AD5I209386,56.19,-4.08,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_4mk649h2,2018-07-29T12:05:39.000Z,2018-12-19T12:33:53.000Z
PI040298AD5I206709,55.25,-7.273,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_02g2h27r,2018-07-21T17:11:56.000Z,2018-08-18T20:31:51.000Z
PI040297AD5I207980,56.575,-3.266,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9hv3bgwn,2018-08-04T17:06:30.000Z,2019-01-27T10:58:35.000Z
,56.576,-3.266,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7g56jcpx,2018-08-04T17:01:16.000Z,2018-11-27T14:26:46.000Z
PI040297AD5I207499,56.317,-3.123,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_nh707gds,2018-08-05T11:23:40.000Z,2018-08-14T01:39:02.000Z
PI040298AD5J214772,54.966,-7.974,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_56hd22k5,2018-06-05T20:41:20.000Z,2018-11-25T15:19:02.000Z
PI040298AD5J215035,54.976,-7.941,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_k22z5yhy,2018-08-07T09:35:06.000Z,2018-11-07T15:31:02.000Z
PI040298AD5J215145,54.976,-7.942,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_r1xx6nv1,2018-08-07T09:28:14.000Z,2018-11-07T15:31:05.000Z
PI040297AD5I209915,56.127,-4.073,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_c0bd4tn5,2018-08-08T08:09:22.000Z,2019-05-01T12:06:14.000Z
PI040298AD5I207867,54.976,-7.94,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6vkq5zjc,2018-08-08T20:04:43.000Z,2018-11-07T15:14:51.000Z
PI040297AD5I209371,56.071,-4.337,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_eq1tv572,2018-08-08T10:53:23.000Z,2019-04-09T14:11:25.000Z
PI040297AD5I208942,56.57,-3.237,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rr8svww0,2018-06-29T15:13:05.000Z,2019-08-26T17:29:58.000Z
PI040297AD5I207164,56.152,-3.839,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fa9m2jfn,2018-07-30T10:45:10.000Z,2019-02-11T13:17:40.000Z
PI040298AD5I207133,54.975,-7.94,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_3qte04v6,2018-08-08T20:20:19.000Z,2018-11-07T15:01:22.000Z
"PI040297AD5I209213. FuturePractice:,Id:336,LandCoverOverlay:,LandCoverTypes:,LandManagement:,LandUseArea:,LandUseSpot:,Latitude:51.3959846,Longitude:0.1221083,ParcelSize:,Photos:,SensorId:VictoriaBurton,SensorMissionManagement:,SensorOnMulchedGround:,SensorOvergrown:,SensorShadedByTrees:,SlopeAspect:,SlopePosition:,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-03T13:36:06.039865+00:",51.396,0.122,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_dedfkptc,2018-08-14T15:05:10.000Z,2019-10-30T15:52:13.000Z
PI040297AD5I210193,56.546,-3.267,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_0gkmkv44,2018-08-13T17:09:26.000Z,2018-09-24T09:03:33.000Z
PI040297AD5I207543,55.852,-4.156,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_sezmqtj3,2018-08-14T17:30:15.000Z,2019-01-20T10:52:00.000Z
PI040298AD5I213209,54.933,-7.539,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_jyad12az,2018-08-14T18:30:33.000Z,2019-01-11T15:09:28.000Z
PI040297AD5I207254,56.395,-3.415,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_jk2rsmnh,2018-08-17T17:07:49.000Z,2018-08-20T20:37:48.000Z
PI040297AD5I204767,56.109,-3.967,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_75zg189b,2018-08-18T17:26:58.000Z,2019-09-21T12:04:53.000Z
"PI040297AD5I207697. FuturePractice:,Id:630,LandCoverOverlay:,LandCoverTypes:[Additional:[Fruit and nut trees (incl. olives)],Cover:< 5%,Id:4054,Name:Trees,Additional:[Fruiting shrubs (incl. grapevines),Other shrubs],Cover:< 5%,Id:4055,Name:Shrubs,Additional:[],Cover:26-50%,Id:4056,Name:Vegetables and crops, herbs and ornamentals,Additional:[],Cover:< 5%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Urban suburb,LandUseSpot:Other,Latitude:55.90234,Longitude:-4.30526,ParcelSize:501  1000 sqm,Photos:,SensorId:STC_EM_besiderunnerbeans,SensorMissionManagement:true,SensorOnMulchedGround:false,SensorOvergrown:true,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-03-30T11:53:25.510152+00:",55.902,-4.306,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_116wcr07,2018-08-21T08:56:31.000Z,2019-08-12T08:26:11.000Z
PI040297AA3L024867,56.457,-2.986,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rmwr02fw,2017-05-18T11:05:43.000Z,2017-06-05T13:35:05.000Z
PI040297AD5I206314,56.576,-3.267,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_3yj8ekn1,2018-08-04T17:24:34.000Z,2019-08-01T18:57:13.000Z
PI040297AD5I206458,56.395,-3.416,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_jczxwwq5,2018-08-24T10:24:42.000Z,2019-10-27T10:16:07.000Z
PI040297AD5I205366,56.539,-3.254,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_62qa39gc,2018-08-06T17:03:31.000Z,2019-02-24T10:12:28.000Z
PI040297AD5I202712,56.543,-3.265,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_cxb9mcsg,2018-08-06T16:45:44.000Z,2018-11-02T15:13:16.000Z
PI040297AD5I206699,56.537,-3.253,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6211pfcq,2018-08-06T18:09:53.000Z,2019-02-24T10:58:49.000Z
PI040297AD5I205786,56.537,-3.252,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pmbmwkxe,2018-08-06T18:32:31.000Z,2019-09-12T18:47:26.000Z
PI040297AD5I206317,56.538,-3.253,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_dtsy0jz1,2018-08-06T18:00:58.000Z,2019-09-12T18:45:50.000Z
PI040297AD5I209114,56.547,-3.274,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_0a3qc4aa,2018-08-27T16:44:00.000Z,2019-03-28T17:00:41.000Z
PI040298AD5J214937,55.0,-7.706,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xy8kknjj,2018-09-04T10:13:32.000Z,2019-09-24T17:44:36.000Z
"PI040297AD5I206478. FuturePractice:,Id:406,LandCoverOverlay:,LandCoverTypes:[Additional:[Other shrubs],Cover:11-25%,Id:4055,Name:Shrubs,Additional:[],Cover:11-25%,Id:4056,Name:Vegetables and crops, herbs and ornamentals,Additional:[],Cover:26-50%,Id:4057,Name:Other ground covering plants (weeds, grasses),Additional:[],Cover:26-50%,Id:4059,Name:Sealed surfaces (roads, buildings)],LandManagement:,LandUseArea:Urban suburb,LandUseSpot:Garden area,Latitude:55.9559326,Longitude:-3.30137753,ParcelSize:501  1000 sqm,Photos:,SensorId:stc_adm_eh48br,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:true,SlopeAspect:N,SlopePosition:Backslope,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-11-19T14:14:54.538249+00:",55.956,-3.301,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mxfd4554,2018-09-07T13:43:16.000Z,2019-10-28T15:17:24.000Z
PI040297AD5I208583,56.395,-3.68,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_e9eqhv7b,2018-09-08T11:57:51.000Z,2018-12-08T14:25:20.000Z
PI040297AD5I209980,56.0,-3.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_te7kdg97,2018-09-07T18:33:34.000Z,2018-10-24T20:24:32.000Z
PI040297AD5I208220,56.395,-3.679,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_0kf2mnc0,2018-09-08T12:27:52.000Z,2019-10-09T12:01:05.000Z
PI040297AD5I209923,56.531,-3.176,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_kw1kdkvt,2018-09-09T19:12:34.000Z,2019-06-24T23:07:59.000Z
